id,name,symbol,weight
1,Microsoft Corporation,MSFT,4.340885
2,Apple Inc.,AAPL,4.190434
3,Amazon.com Inc.,AMZN,2.927328
4,Facebook Inc. Class A,FB,1.828524
5,Berkshire Hathaway Inc. Class B,BRK.B,1.653104
6,JPMorgan Chase & Co.,JPM,1.584149
7,Alphabet Inc. Class C,GOOG,1.510318
8,Alphabet Inc. Class A,GOOGL,1.495387
9,Johnson & Johnson,JNJ,1.382031
10,Procter & Gamble Company,PG,1.236271
11,Visa Inc. Class A,V,1.225106
12,Exxon Mobil Corporation,XOM,1.134293
13,AT&T Inc.,T,1.115847
14,Bank of America Corp,BAC,1.039343
15,Home Depot Inc.,HD,1.019008
16,Intel Corporation,INTC,0.993573
17,Verizon Communications Inc.,VZ,0.992289
18,Mastercard Incorporated Class A,MA,0.980461
19,UnitedHealth Group Incorporated,UNH,0.949302
20,Walt Disney Company,DIS,0.928529
21,Merck & Co. Inc.,MRK,0.880319
22,Chevron Corporation,CVX,0.874561
23,Pfizer Inc.,PFE,0.842087
24,Coca-Cola Company,KO,0.831074
25,Wells Fargo & Company,WFC,0.821327
26,Comcast Corporation Class A,CMCSA,0.806527
27,Cisco Systems Inc.,CSCO,0.800216
28,PepsiCo Inc.,PEP,0.760616
29,Boeing Company,BA,0.720918
30,Walmart Inc.,WMT,0.661620
31,Citigroup Inc.,C,0.644066
32,McDonald's Corporation,MCD,0.592664
33,Abbott Laboratories,ABT,0.586290
34,Medtronic Plc,MDT,0.579679
35,salesforce.com inc.,CRM,0.544505
36,Adobe Inc.,ADBE,0.535173
37,Costco Wholesale Corporation,COST,0.518406
38,Amgen Inc.,AMGN,0.507382
39,Philip Morris International Inc.,PM,0.502717
40,Netflix Inc.,NFLX,0.499257
41,Honeywell International Inc.,HON,0.493078
42,PayPal Holdings Inc,PYPL,0.485984
43,NVIDIA Corporation,NVDA,0.484290
44,Thermo Fisher Scientific Inc.,TMO,0.479844
45,Oracle Corporation,ORCL,0.475975
46,International Business Machines Corporation,IBM,0.470014
47,Accenture Plc Class A,ACN,0.467812
48,AbbVie Inc.,ABBV,0.465179
49,Broadcom Inc.,AVGO,0.462506
50,Union Pacific Corporation,UNP,0.462386
51,NextEra Energy Inc.,NEE,0.462185
52,United Technologies Corporation,UTX,0.460696
53,NIKE Inc. Class B,NKE,0.444667
54,Texas Instruments Incorporated,TXN,0.436946
55,Linde plc,LIN,0.425315
56,Starbucks Corporation,SBUX,0.401582
57,QUALCOMM Incorporated,QCOM,0.386823
58,Eli Lilly and Company,LLY,0.384088
59,American Tower Corporation,AMT,0.383021
60,3M Company,MMM,0.376221
61,Lockheed Martin Corporation,LMT,0.371392
62,Bristol-Myers Squibb Company,BMY,0.371217
63,Danaher Corporation,DHR,0.349124
64,Booking Holdings Inc.,BKNG,0.345560
65,General Electric Company,GE,0.344275
66,CVS Health Corporation,CVS,0.342553
67,Lowe's Companies Inc.,LOW,0.341770
68,Altria Group Inc,MO,0.331481
69,U.S. Bancorp,USB,0.324403
70,Fidelity National Information Services Inc.,FIS,0.320701
71,Gilead Sciences Inc.,GILD,0.320453
72,United Parcel Service Inc. Class B,UPS,0.319107
73,American Express Company,AXP,0.316484
74,Caterpillar Inc.,CAT,0.307576
75,Celgene Corporation,CELG,0.303772
76,Charter Communications Inc. Class A,CHTR,0.300113
77,Mondelez International Inc. Class A,MDLZ,0.300104
78,CME Group Inc. Class A,CME,0.291352
79,Automatic Data Processing Inc.,ADP,0.279332
80,TJX Companies Inc,TJX,0.276544
81,Chubb Limited,CB,0.275537
82,Stryker Corporation,SYK,0.275321
83,Goldman Sachs Group Inc.,GS,0.273959
84,Becton Dickinson and Company,BDX,0.273180
85,Anthem Inc.,ANTM,0.273024
86,Duke Energy Corporation,DUK,0.271462
87,Dominion Energy Inc,D,0.269191
88,Cigna Corporation,CI,0.267498
89,Intuit Inc.,INTU,0.265692
90,Southern Company,SO,0.259847
91,PNC Financial Services Group Inc.,PNC,0.259152
92,Intuitive Surgical Inc.,ISRG,0.252364
93,S&P Global Inc.,SPGI,0.250966
94,ConocoPhillips,COP,0.243127
95,Zoetis Inc. Class A,ZTS,0.241546
96,Fiserv Inc.,FISV,0.239083
97,Raytheon Company,RTN,0.233649
98,Colgate-Palmolive Company,CL,0.233102
99,Morgan Stanley,MS,0.229499
100,Boston Scientific Corporation,BSX,0.229400
101,Allergan plc,AGN,0.229197
102,Crown Castle International Corp,CCI,0.228092
103,CSX Corporation,CSX,0.222525
104,Northrop Grumman Corporation,NOC,0.220103
105,Prologis Inc.,PLD,0.218820
106,Biogen Inc.,BIIB,0.218587
107,Deere & Company,DE,0.217493
108,Target Corporation,TGT,0.217138
109,BlackRock Inc.,BLK,0.215176
110,Intercontinental Exchange Inc.,ICE,0.209663
111,Micron Technology Inc.,MU,0.208606
112,Marsh & McLennan Companies Inc.,MMC,0.208100
113,Phillips 66,PSX,0.207888
114,Global Payments Inc.,GPN,0.201389
115,Applied Materials Inc.,AMAT,0.198862
116,Vertex Pharmaceuticals Incorporated,VRTX,0.198509
117,Edwards Lifesciences Corporation,EW,0.197031
118,Illinois Tool Works Inc.,ITW,0.196879
119,DuPont de Nemours Inc.,DD,0.195347
120,Ecolab Inc.,ECL,0.190775
121,Equinix Inc.,EQIX,0.190728
122,Norfolk Southern Corporation,NSC,0.190158
123,Charles Schwab Corporation,SCHW,0.187907
124,Sherwin-Williams Company,SHW,0.186437
125,Air Products and Chemicals Inc.,APD,0.185566
126,General Motors Company,GM,0.185236
127,American Electric Power Company Inc.,AEP,0.183632
128,Simon Property Group Inc.,SPG,0.183579
129,L3Harris Technologies Inc,LHX,0.182763
130,American International Group Inc.,AIG,0.182206
131,Kimberly-Clark Corporation,KMB,0.181096
132,Aon plc,AON,0.180736
133,Schlumberger NV,SLB,0.178681
134,Exelon Corporation,EXC,0.175115
135,Waste Management Inc.,WM,0.173797
136,Capital One Financial Corporation,COF,0.173622
137,Illumina Inc.,ILMN,0.171310
138,Emerson Electric Co.,EMR,0.170554
139,Activision Blizzard Inc.,ATVI,0.170167
140,Marathon Petroleum Corporation,MPC,0.166990
141,Walgreens Boots Alliance Inc,WBA,0.164883
142,General Dynamics Corporation,GD,0.164134
143,Dollar General Corporation,DG,0.163499
144,Estee Lauder Companies Inc. Class A,EL,0.163482
145,Sysco Corporation,SYY,0.162614
146,BB&T Corporation,BBT,0.161069
147,Progressive Corporation,PGR,0.160494
148,Valero Energy Corporation,VLO,0.159408
149,Bank of New York Mellon Corporation,BK,0.159107
150,EOG Resources Inc.,EOG,0.159009
151,Ross Stores Inc.,ROST,0.158646
152,Humana Inc.,HUM,0.157139
153,Analog Devices Inc.,ADI,0.156315
154,Sempra Energy,SRE,0.156194
155,Aflac Incorporated,AFL,0.156118
156,Lam Research Corporation,LRCX,0.155424
157,Baxter International Inc.,BAX,0.155369
158,Kinder Morgan Inc Class P,KMI,0.153429
159,Dow Inc.,DOW,0.148845
160,MetLife Inc.,MET,0.147764
161,Advanced Micro Devices Inc.,AMD,0.146133
162,Welltower Inc.,WELL,0.145596
163,Prudential Financial Inc.,PRU,0.145330
164,Eaton Corp. Plc,ETN,0.145124
165,FedEx Corporation,FDX,0.144533
166,Occidental Petroleum Corporation,OXY,0.143311
167,Moody's Corporation,MCO,0.142427
168,HCA Healthcare Inc,HCA,0.140556
169,Allstate Corporation,ALL,0.138984
170,Roper Technologies Inc.,ROP,0.138710
171,Marriott International Inc. Class A,MAR,0.137225
172,Johnson Controls International plc,JCI,0.136700
173,Travelers Companies Inc.,TRV,0.135772
174,Cognizant Technology Solutions Corporation Class A,CTSH,0.133533
175,Ford Motor Company,F,0.133451
176,O'Reilly Automotive Inc.,ORLY,0.132209
177,Xcel Energy Inc.,XEL,0.132126
178,Public Storage,PSA,0.131882
179,Newmont Goldcorp Corporation,NEM,0.128699
180,Autodesk Inc.,ADSK,0.128328
181,Delta Air Lines Inc.,DAL,0.126463
182,Public Service Enterprise Group Inc,PEG,0.126210
183,Constellation Brands Inc. Class A,STZ,0.126156
184,Yum! Brands Inc.,YUM,0.122906
185,Equity Residential,EQR,0.122621
186,Consolidated Edison Inc.,ED,0.121539
187,Ingersoll-Rand Plc,IR,0.121366
188,General Mills Inc.,GIS,0.120734
189,AvalonBay Communities Inc.,AVB,0.120318
190,TE Connectivity Ltd.,TEL,0.119519
191,SunTrust Banks Inc.,STI,0.119447
192,Amphenol Corporation Class A,APH,0.118819
193,WEC Energy Group Inc,WEC,0.117415
194,PPG Industries Inc.,PPG,0.117106
195,ONEOK Inc.,OKE,0.113904
196,Electronic Arts Inc.,EA,0.112689
197,Zimmer Biomet Holdings Inc.,ZBH,0.111445
198,IHS Markit Ltd.,INFO,0.111426
